,MAE,RMSE
Naive baseline,1.3099191770756795,1.8025779563609077
Linear Regression,1.1510915886859505,1.4796441193065415
Decision Tree,1.111445629143052,1.4430678210113939
Random Forest,1.094882228701354,1.4195578229758978
